InitialState,RefPoint,Scheme,HorizonSize,ConstraintsViolated,NbrIterationsToConvergence,PerformanceMeasure,AverageSensitivitiesComputationTime,StdErrSensitivitiesComputationTime,AverageCondensationTime,StdErrCondensationTime,AverageSolvingTime,StdErrSolvingTime
1,1,infhorz,5000,False,49,162.374,,,,,,
1,1,rrlb,25,True,350,3280.5125577672125,21.259,3.552,20.28,3.669,0.224,0.032
1,1,rrlb,50,False,350,219.0210607190351,42.874,9.022,38.292,9.528,0.44,0.113
1,1,rrlb,100,False,50,216.47881331094635,153.817,58.84,130.157,46.104,1.775,4.235
1,1,rrlb,250,False,50,216.4071423481202,255.093,65.467,213.049,53.298,2.581,0.465
1,1,reg,25,False,350,273.7568347958828,12.741,1.169,20.001,1.63,0.156,0.045
1,1,reg,50,False,350,240.6344840488211,24.746,2.054,35.593,2.382,0.29,0.074
1,1,reg,100,False,75,238.0064627404881,49.412,5.2,69.275,10.335,0.61,0.319
1,1,reg,250,False,73,237.31871649781712,125.208,9.048,164.232,9.618,1.577,0.911
1,2,infhorz,5000,False,60,96.673,,,,,,
1,2,rrlb,25,True,350,3280.5080575127895,23.31,3.583,22.291,3.693,0.249,0.041
1,2,rrlb,50,False,350,219.02150420734566,44.294,9.618,39.092,5.291,0.462,0.052
1,2,rrlb,100,False,50,216.4842921036816,83.943,5.195,71.501,4.69,0.875,0.05
1,2,rrlb,250,False,50,216.4355496686579,211.735,9.948,176.377,7.715,2.275,0.123
1,2,reg,25,False,350,273.7560816203954,12.894,1.43,20.204,1.979,0.156,0.044
1,2,reg,50,False,350,240.64353206686232,29.627,6.57,42.695,9.282,0.322,0.094
1,2,reg,100,False,75,237.97336589526714,71.976,36.913,97.037,39.886,0.756,0.372
1,2,reg,250,False,73,237.56227563946518,152.364,11.693,199.18,14.751,1.854,1.063
1,3,infhorz,5000,False,67,321.355,,,,,,
1,3,rrlb,25,True,350,3280.494319718247,27.25,7.417,25.674,6.996,0.264,0.051
1,3,rrlb,50,False,350,219.02237558563084,62.892,29.957,57.939,37.906,0.569,0.296
1,3,rrlb,100,False,50,216.47909625914454,92.863,5.736,80.182,4.629,0.909,0.104
1,3,rrlb,250,False,50,216.42923263986427,239.138,9.79,197.291,11.204,2.501,0.331
1,3,reg,25,False,350,273.6815788381951,13.651,1.608,21.352,2.083,0.161,0.047
1,3,reg,50,False,350,240.67757994042688,29.023,3.321,41.392,3.855,0.317,0.075
1,3,reg,100,False,75,237.9856887358079,55.722,3.151,76.054,3.09,0.668,0.356
1,3,reg,250,False,73,237.55629047755312,145.762,14.555,187.929,10.813,1.762,1.043
2,1,infhorz,5000,False,47,166.255,,,,,,
2,1,rrlb,25,True,350,3267.68952225022,23.73,1.956,22.357,1.835,0.245,0.029
2,1,rrlb,50,False,350,222.41728369547957,41.753,3.953,36.881,3.46,0.428,0.046
2,1,rrlb,100,False,48,219.88194022735038,79.462,2.842,67.793,2.633,0.814,0.042
2,1,rrlb,250,False,48,219.8281509859691,203.069,11.762,167.258,7.485,2.156,0.196
2,1,reg,25,False,350,283.4736353490092,11.997,1.105,18.572,1.189,0.144,0.05
2,1,reg,50,False,350,249.52543071855095,23.919,1.888,34.284,2.245,0.278,0.107
2,1,reg,100,False,57,246.80748647241413,49.39,2.05,67.442,1.946,0.604,0.292
2,1,reg,250,False,54,246.4047728187377,120.544,7.259,159.1,9.789,1.517,0.794
2,2,infhorz,5000,False,48,63.454,,,,,,
2,2,rrlb,25,True,350,3267.6811123112457,21.849,4.184,20.934,4.098,0.226,0.034
2,2,rrlb,50,False,350,222.4202329489107,43.032,10.299,38.937,8.943,0.429,0.058
2,2,rrlb,100,False,48,219.88110524738303,152.117,59.125,133.988,51.219,1.397,0.811
2,2,rrlb,250,False,48,219.78349280531248,264.698,76.099,218.787,55.191,2.643,0.595
2,2,reg,25,False,350,283.4570983409067,12.838,1.383,20.313,1.787,0.157,0.058
2,2,reg,50,False,350,249.55215123857997,25.022,2.067,36.143,2.423,0.296,0.113
2,2,reg,100,False,57,246.80745637580938,49.849,4.171,68.325,4.121,0.603,0.294
2,2,reg,250,False,54,246.40419006496367,128.573,16.457,171.343,15.052,1.539,0.79
2,3,infhorz,5000,False,46,263.736,,,,,,
2,3,rrlb,25,True,350,3267.6911230695764,22.733,2.701,21.887,2.87,0.244,0.031
2,3,rrlb,50,False,350,222.41678566193866,44.492,4.644,39.921,4.126,0.463,0.061
2,3,rrlb,100,False,48,219.87907297414557,92.961,27.823,80.14,17.165,0.942,0.218
2,3,rrlb,250,False,48,219.8292159245548,209.948,9.167,176.925,9.463,2.284,0.168
2,3,reg,25,False,350,283.4518494517276,12.821,1.235,20.331,1.869,0.156,0.056
2,3,reg,50,False,350,249.55173824104162,27.703,5.106,40.823,8.781,0.327,0.211
2,3,reg,100,False,57,246.76900244916072,65.994,12.17,89.742,15.532,0.746,0.355
2,3,reg,250,False,54,246.269595728556,174.894,71.591,219.311,58.864,1.907,0.921
3,1,infhorz,5000,False,59,505.518,,,,,,
3,1,rrlb,25,True,350,3469.843002305375,25.867,6.205,24.456,5.503,0.252,0.042
3,1,rrlb,50,False,350,574.0333841230802,64.259,35.411,58.029,32.667,0.561,0.157
3,1,rrlb,100,False,60,571.4604514116602,100.605,7.596,86.591,5.449,1.001,0.134
3,1,rrlb,250,False,60,571.3813388267454,240.081,16.041,199.835,10.331,2.48,0.327
3,1,reg,25,False,350,898.6755949737557,14.159,1.852,22.286,2.138,0.175,0.058
3,1,reg,50,False,350,822.5358981892439,28.914,3.018,41.894,4.96,0.35,0.121
3,1,reg,100,False,93,817.6297918316577,56.683,3.49,78.548,4.793,0.821,0.535
3,1,reg,250,False,95,816.7435905495431,145.055,12.349,194.157,14.297,2.004,1.403
3,2,infhorz,5000,False,53,22.437,,,,,,
3,2,rrlb,25,True,350,3469.8433159767947,23.886,2.188,22.89,2.182,0.249,0.036
3,2,rrlb,50,False,350,574.0405962872835,40.465,2.768,36.179,2.199,0.419,0.042
3,2,rrlb,100,False,60,571.4794628522873,82.346,3.206,70.943,3.08,0.865,0.104
3,2,rrlb,250,False,60,571.3984832081953,199.284,9.241,167.537,7.32,2.122,0.151
3,2,reg,25,False,350,898.3167696052332,12.397,1.058,19.635,1.227,0.158,0.045
3,2,reg,50,False,350,822.5684383818831,24.333,1.825,35.152,2.405,0.303,0.115
3,2,reg,100,False,93,817.7743333681618,47.236,2.986,64.662,3.225,0.721,0.51
3,2,reg,250,False,95,817.8874512614939,112.103,5.638,149.219,4.706,1.495,0.991
3,3,infhorz,5000,False,65,111.183,,,,,,
3,3,rrlb,25,True,350,3469.853127739119,21.369,3.843,20.213,3.773,0.227,0.04
3,3,rrlb,50,False,350,574.0389743703972,42.598,10.549,37.598,8.456,0.437,0.103
3,3,rrlb,100,False,60,571.4270712854154,150.18,57.766,126.006,43.088,1.356,0.861
3,3,rrlb,250,False,60,571.3485670667038,244.58,60.365,199.457,43.818,2.53,0.568
3,3,reg,25,False,350,898.3097623944515,12.743,1.357,19.801,1.609,0.167,0.049
3,3,reg,50,False,350,822.5355392563032,24.506,2.015,35.176,2.652,0.311,0.119
3,3,reg,100,False,93,817.7446415168639,51.823,8.935,70.723,7.745,0.778,0.482
3,3,reg,250,False,95,817.4683906019017,124.298,5.676,164.562,9.225,1.667,1.106
4,1,infhorz,5000,False,55,638.506,,,,,,
4,1,rrlb,25,True,350,3752.4775982014785,21.738,1.909,20.555,1.841,0.239,0.024
4,1,rrlb,50,False,350,774.1999365067983,43.183,7.335,38.531,7.255,0.451,0.055
4,1,rrlb,100,False,56,771.5774703385588,83.194,3.384,71.549,3.75,0.885,0.046
4,1,rrlb,250,False,56,771.2416501483764,220.682,27.552,183.184,19.88,2.394,0.326
4,1,reg,25,False,350,948.750623806871,15.187,3.763,23.667,5.163,0.183,0.062
4,1,reg,50,False,350,910.9713581564089,32.637,10.132,46.644,16.712,0.403,0.567
4,1,reg,100,False,71,907.8629041454037,60.238,6.123,81.775,9.002,0.777,0.485
4,1,reg,250,False,72,905.5452483803807,151.619,29.579,195.164,28.278,1.873,1.247
4,2,infhorz,5000,False,64,56.859,,,,,,
4,2,rrlb,25,True,350,3752.4679583064053,32.867,17.421,31.606,16.539,0.298,0.101
4,2,rrlb,50,False,350,774.1461396321511,53.656,25.957,47.602,27.212,0.572,1.022
4,2,rrlb,100,False,56,771.5603873856275,95.447,5.193,82.453,6.241,0.962,0.12
4,2,rrlb,250,False,56,771.1842991557099,231.132,12.663,191.618,11.059,2.469,0.377
4,2,reg,25,False,350,948.765441629127,14.95,3.038,23.126,2.287,0.181,0.057
4,2,reg,50,False,350,910.9805382551058,28.722,2.628,40.931,3.217,0.343,0.136
4,2,reg,100,False,71,907.6769755315205,57.186,4.822,78.552,5.315,0.782,0.546
4,2,reg,250,False,72,905.8733647938482,143.22,12.66,188.834,16.617,1.864,1.191
4,3,infhorz,5000,False,72,65.472,,,,,,
4,3,rrlb,25,True,350,3752.4766487198126,21.37,2.446,20.238,2.248,0.228,0.031
4,3,rrlb,50,False,350,774.2287380872654,40.416,2.144,35.578,1.951,0.418,0.03
4,3,rrlb,100,False,56,771.5833661826787,79.887,2.899,67.446,2.222,0.846,0.074
4,3,rrlb,250,False,56,771.2979233017896,200.735,9.605,166.019,9.207,2.176,0.175
4,3,reg,25,False,350,948.4662912767141,11.671,1.071,17.969,1.039,0.147,0.05
4,3,reg,50,False,350,911.1935808099284,24.51,1.587,35.031,2.427,0.295,0.102
4,3,reg,100,False,71,907.6775770620732,44.574,2.387,60.533,2.496,0.612,0.439
4,3,reg,250,False,72,906.8138937054523,111.494,5.284,146.437,7.96,1.425,0.969
5,1,infhorz,5000,False,50,430.094,,,,,,
5,1,rrlb,25,True,350,3688.7051107330635,21.489,3.581,20.548,3.864,0.22,0.028
5,1,rrlb,50,False,350,560.9891505035566,43.373,9.81,38.385,8.259,0.431,0.063
5,1,rrlb,100,False,51,558.4624539145257,156.068,50.778,140.902,52.299,1.249,0.319
5,1,rrlb,250,False,51,558.3772870198173,249.853,57.641,210.096,51.549,2.479,0.418
5,1,reg,25,False,350,646.7645361966515,13.039,1.421,20.261,1.908,0.161,0.046
5,1,reg,50,False,350,606.5839918728686,24.938,1.956,35.876,2.601,0.291,0.061
5,1,reg,100,False,94,604.040085021878,52.244,5.665,71.215,10.178,0.682,0.275
5,1,reg,250,False,92,603.4107485010979,125.887,5.919,167.285,8.584,1.528,0.412
5,2,infhorz,5000,False,65,102.65,,,,,,
5,2,rrlb,25,True,350,3688.6824575064716,23.011,2.536,21.841,2.668,0.245,0.032
5,2,rrlb,50,False,350,560.9888482943362,43.939,9.714,38.784,5.356,0.45,0.045
5,2,rrlb,100,False,51,558.463482125887,86.123,5.374,72.677,3.923,0.881,0.055
5,2,rrlb,250,False,51,558.4111393112782,214.744,9.038,180.844,9.336,2.315,0.164
5,2,reg,25,False,350,646.764204256741,13.972,2.951,21.947,5.105,0.167,0.046
5,2,reg,50,False,350,606.5673557425295,33.72,12.561,48.282,16.511,0.365,0.205
5,2,reg,100,False,94,603.9819509305147,60.844,5.94,83.165,8.16,0.772,0.283
5,2,reg,250,False,92,603.3274599955729,152.163,19.994,200.913,31.074,1.76,0.646
5,3,infhorz,5000,False,76,184.168,,,,,,
5,3,rrlb,25,True,350,3688.690686545721,38.093,23.054,36.433,25.272,0.324,0.241
5,3,rrlb,50,False,350,560.9845771801013,49.403,5.345,44.024,5.0,0.486,0.07
5,3,rrlb,100,False,51,558.4597633001043,98.899,7.33,84.046,5.299,1.005,0.133
5,3,rrlb,250,False,51,558.3859313193379,233.616,11.153,194.248,10.949,2.445,0.314
5,3,reg,25,False,350,646.7602762687849,14.894,1.91,23.517,3.7,0.176,0.045
5,3,reg,50,False,350,606.5762701635243,29.407,2.649,42.032,3.114,0.331,0.078
5,3,reg,100,False,94,603.9829788820224,56.663,4.099,76.903,4.461,0.721,0.287
5,3,reg,250,False,92,603.3728100870935,144.671,16.475,190.734,14.251,1.735,0.63
